"Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Saving_account_bonds","Present_employment_since","Installment_rate_of_disposable_income","Sex","Personal_status","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","Foreign_worker","Good_loan"
NA,24,"delay in paying off in the past","business",2978,NA,"1  <= ... < 4 years",0.04,"male","single","none",4,"real estate",32,"none","own",2,"skilled employee/official",2,"yes","yes","yes"
NA,15,"existing credits paid back duly till now","car (used)",4657,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",2,"car or other",30,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,36,"no credits taken","repairs",2613,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"car or other",27,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",48,"existing credits paid back duly till now","radio/television",10961,"... >= 1000 DM","4  <= ... < 7 years",0.01,"male","single","co-applicant",2,NA,27,"bank","own",2,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",7865,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,NA,53,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,9,"existing credits paid back duly till now","radio/television",1478,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",2,"car or other",22,"none","own",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",3149,"... <  100 DM","... < 1 year",0.04,"male","single","none",1,NA,22,"bank","for free",1,"skilled employee/official",1,"no","yes","yes"
"... >= 200 DM",36,"existing credits paid back duly till now","radio/television",4210,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"car or other",26,"none","own",1,"skilled employee/official",1,"no","yes","no"
NA,9,"existing credits paid back duly till now","car (new)",2507,"500 <= ... < 1000 DM","... >= 7 years",0.02,"male","single","none",4,NA,51,"none","for free",1,"unskilled - resident",1,"no","yes","yes"
NA,12,"existing credits paid back duly till now","radio/television",2141,"100 <= ... <  500 DM","4  <= ... < 7 years",0.03,"male","single","none",1,NA,35,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","radio/television",866,"... <  100 DM","1  <= ... < 4 years",0.04,"male","married/widowed","guarantor",2,"real estate",25,"none","own",1,"unskilled - resident",1,"no","yes","yes"
NA,4,"critical account","radio/television",1544,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",1,"real estate",42,"none","own",3,"unskilled - resident",2,"no","yes","yes"
"... < 0 DM",24,"existing credits paid back duly till now","radio/television",1823,"... <  100 DM","unemployed",0.04,"male","single","none",2,"car or other",30,"stores","own",1,"management/self-employed/highly qualified employee/officer",2,"no","yes","no"
"0 <= ... < 200 DM",6,"existing credits paid back duly till now","car (new)",14555,NA,"unemployed",0.01,"male","single","none",2,"building society savings agreement/life insurance",23,"none","own",1,"unemployed/unskilled - non-resident",1,"yes","yes","no"
"0 <= ... < 200 DM",21,"existing credits paid back duly till now","business",2767,"100 <= ... <  500 DM","... >= 7 years",0.04,"male","divorced/separated","none",2,"car or other",61,"bank","rent",2,"unskilled - resident",1,"no","yes","no"
NA,12,"critical account","radio/television",1291,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",35,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",30,"existing credits paid back duly till now","radio/television",2522,"... <  100 DM","... >= 7 years",0.01,"male","single","guarantor",3,"building society savings agreement/life insurance",39,"none","own",1,"skilled employee/official",2,"no","yes","yes"
"... < 0 DM",24,"existing credits paid back duly till now","car (new)",915,NA,"... >= 7 years",0.04,"female","divorced/separated/married","none",2,"car or other",29,"bank","own",1,"skilled employee/official",1,"no","yes","no"
NA,6,"existing credits paid back duly till now","radio/television",1595,"... <  100 DM","4  <= ... < 7 years",0.03,"male","single","none",2,"building society savings agreement/life insurance",51,"none","own",1,"skilled employee/official",2,"no","yes","yes"
"... < 0 DM",48,"no credits taken","car (used)",4605,"... <  100 DM","... >= 7 years",0.03,"male","single","none",4,NA,24,"none","for free",2,"skilled employee/official",2,"no","yes","no"
NA,12,"critical account","business",1185,"... <  100 DM","1  <= ... < 4 years",0.03,"female","divorced/separated/married","none",2,"real estate",27,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,12,"all credits at this bank paid back duly","retraining",3447,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",3,"real estate",35,"none","own",1,"unskilled - resident",2,"no","yes","yes"
NA,24,"existing credits paid back duly till now","business",1258,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",1,"real estate",25,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,12,"critical account","radio/television",717,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"real estate",52,"none","own",3,"skilled employee/official",1,"no","yes","yes"
NA,6,"no credits taken","car (new)",1204,"100 <= ... <  500 DM","1  <= ... < 4 years",0.04,"male","single","none",1,NA,35,"bank","rent",1,"skilled employee/official",1,"no","no","yes"
"... >= 200 DM",24,"existing credits paid back duly till now","furniture/equipment",1925,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"real estate",26,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,18,"existing credits paid back duly till now","radio/television",433,"... <  100 DM","unemployed",0.03,"female","divorced/separated/married","co-applicant",4,"real estate",22,"none","rent",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",6,"critical account","car (new)",666,"... >= 1000 DM","4  <= ... < 7 years",0.03,"female","divorced/separated/married","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"yes","yes","yes"
"... >= 200 DM",12,"existing credits paid back duly till now","furniture/equipment",2251,"... <  100 DM","1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",2,"car or other",46,"none","own",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",30,"existing credits paid back duly till now","car (new)",2150,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","guarantor",2,NA,24,"bank","own",1,"skilled employee/official",1,"no","yes","no"
NA,24,"delay in paying off in the past","furniture/equipment",4151,"100 <= ... <  500 DM","1  <= ... < 4 years",0.02,"male","single","none",3,"building society savings agreement/life insurance",35,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",9,"existing credits paid back duly till now","furniture/equipment",2030,NA,"4  <= ... < 7 years",0.02,"male","single","none",1,"car or other",24,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",60,"delay in paying off in the past","radio/television",7418,NA,"1  <= ... < 4 years",0.01,"male","single","none",1,"real estate",27,"none","own",1,"unskilled - resident",1,"no","yes","yes"
NA,24,"critical account","radio/television",2684,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"real estate",35,"none","own",2,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",12,"all credits at this bank paid back duly","radio/television",2149,"... <  100 DM","1  <= ... < 4 years",0.04,"male","divorced/separated","none",1,NA,29,"none","for free",1,"skilled employee/official",1,"no","yes","no"
NA,15,"existing credits paid back duly till now","car (used)",3812,"100 <= ... <  500 DM","... < 1 year",0.01,"female","divorced/separated/married","none",4,"car or other",23,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,11,"critical account","radio/television",1154,"100 <= ... <  500 DM","unemployed",0.04,"female","divorced/separated/married","none",4,"real estate",57,"none","own",3,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",1657,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"real estate",27,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",24,"existing credits paid back duly till now","radio/television",1603,"... <  100 DM","... >= 7 years",0.04,"female","divorced/separated/married","none",4,"car or other",55,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",18,"critical account","car (new)",5302,"... <  100 DM","... >= 7 years",0.02,"male","single","none",4,NA,36,"none","for free",3,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,12,"critical account","education",2748,"... <  100 DM","... >= 7 years",0.02,"female","divorced/separated/married","none",4,NA,57,"bank","for free",3,"unskilled - resident",1,"no","yes","yes"
NA,10,"critical account","car (new)",1231,"... <  100 DM","... >= 7 years",0.03,"male","single","none",4,"real estate",32,"none","own",2,"unskilled - resident",2,"no","no","yes"
"0 <= ... < 200 DM",15,"existing credits paid back duly till now","radio/television",802,"... <  100 DM","... >= 7 years",0.04,"male","single","none",3,"car or other",37,"none","own",1,"skilled employee/official",2,"no","yes","no"
NA,36,"critical account","business",6304,NA,"... >= 7 years",0.04,"male","single","none",4,"real estate",36,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,24,"existing credits paid back duly till now","radio/television",1533,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",3,"car or other",38,"stores","own",1,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",14,"existing credits paid back duly till now","car (new)",8978,"... <  100 DM","... >= 7 years",0.01,"male","divorced/separated","none",4,"building society savings agreement/life insurance",45,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","no","no"
NA,24,"existing credits paid back duly till now","radio/television",999,NA,"... >= 7 years",0.04,"male","single","none",2,"car or other",25,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,18,"existing credits paid back duly till now","car (new)",2662,NA,"4  <= ... < 7 years",0.04,"male","single","none",3,"building society savings agreement/life insurance",32,"none","own",1,"skilled employee/official",1,"no","no","yes"
NA,12,"critical account","furniture/equipment",1402,"500 <= ... < 1000 DM","4  <= ... < 7 years",0.03,"female","divorced/separated/married","none",4,"car or other",37,"none","rent",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",48,"all credits at this bank paid back duly","car (new)",12169,NA,"unemployed",0.04,"male","single","co-applicant",4,NA,36,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",48,"existing credits paid back duly till now","radio/television",3060,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",4,"real estate",28,"none","own",2,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",30,"existing credits paid back duly till now","repairs",11998,"... <  100 DM","... < 1 year",0.01,"male","divorced/separated","none",1,NA,34,"none","own",1,"unskilled - resident",1,"yes","yes","no"
NA,9,"existing credits paid back duly till now","radio/television",2697,"... <  100 DM","1  <= ... < 4 years",0.01,"male","single","none",2,"real estate",32,"none","own",1,"skilled employee/official",2,"no","yes","yes"
NA,18,"critical account","radio/television",2404,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",2,"car or other",26,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",1262,NA,"... >= 7 years",0.02,"male","divorced/separated","none",4,"building society savings agreement/life insurance",49,"none","own",1,"unskilled - resident",1,"yes","yes","yes"
NA,6,"existing credits paid back duly till now","furniture/equipment",4611,"... <  100 DM","... < 1 year",0.01,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",32,"none","own",1,"skilled employee/official",1,"no","yes","no"
NA,24,"existing credits paid back duly till now","radio/television",1901,"100 <= ... <  500 DM","1  <= ... < 4 years",0.04,"male","single","none",4,"car or other",29,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,15,"critical account","car (used)",3368,"... >= 1000 DM","... >= 7 years",0.03,"male","single","none",4,NA,23,"none","rent",2,"skilled employee/official",1,"yes","yes","yes"
NA,12,"existing credits paid back duly till now","furniture/equipment",1574,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"real estate",50,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... >= 200 DM",18,"all credits at this bank paid back duly","radio/television",1445,NA,"4  <= ... < 7 years",0.04,"male","single","none",4,"car or other",49,"bank","own",1,"unskilled - resident",1,"no","yes","yes"
NA,15,"critical account","furniture/equipment",1520,NA,"... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",63,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",24,"critical account","car (new)",3878,"100 <= ... <  500 DM","... < 1 year",0.04,"male","divorced/separated","none",2,"car or other",37,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",47,"existing credits paid back duly till now","car (new)",10722,"... <  100 DM","... < 1 year",0.01,"female","divorced/separated/married","none",1,"real estate",35,"none","own",1,"unskilled - resident",1,"yes","yes","yes"
"... < 0 DM",48,"existing credits paid back duly till now","car (used)",4788,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",3,"building society savings agreement/life insurance",26,"none","own",1,"skilled employee/official",2,"no","yes","yes"
"0 <= ... < 200 DM",48,"delay in paying off in the past","others",7582,"100 <= ... <  500 DM","unemployed",0.02,"male","single","none",4,NA,31,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","radio/television",1092,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","guarantor",4,"real estate",49,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",24,"delay in paying off in the past","radio/television",1024,"... <  100 DM","... < 1 year",0.04,"male","married/widowed","none",4,"real estate",48,"stores","own",1,"skilled employee/official",1,"no","yes","no"
NA,12,"existing credits paid back duly till now","business",1076,"... <  100 DM","1  <= ... < 4 years",0.02,"male","married/widowed","none",2,"real estate",26,"none","own",1,"skilled employee/official",1,"yes","no","yes"
"0 <= ... < 200 DM",36,"existing credits paid back duly till now","car (used)",9398,"... <  100 DM","... < 1 year",0.01,"male","married/widowed","none",4,"car or other",28,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"... < 0 DM",24,"critical account","car (used)",6419,"... <  100 DM","... >= 7 years",0.02,"female","divorced/separated/married","none",4,NA,44,"none","for free",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes","yes"
"... >= 200 DM",42,"critical account","car (used)",4796,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,NA,56,"none","for free",1,"skilled employee/official",1,"no","yes","yes"
NA,48,"critical account","business",7629,NA,"... >= 7 years",0.04,"male","divorced/separated","none",2,"car or other",46,"bank","own",2,"management/self-employed/highly qualified employee/officer",2,"no","yes","yes"
"0 <= ... < 200 DM",48,"existing credits paid back duly till now","furniture/equipment",9960,"... <  100 DM","... < 1 year",0.01,"female","divorced/separated/married","none",2,"car or other",26,"none","own",1,"skilled employee/official",1,"yes","yes","no"
NA,12,"existing credits paid back duly till now","car (used)",4675,NA,"... < 1 year",0.01,"female","divorced/separated/married","none",4,"car or other",20,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
NA,10,"existing credits paid back duly till now","car (new)",1287,NA,"... >= 7 years",0.04,"male","single","co-applicant",2,"building society savings agreement/life insurance",45,"none","own",1,"unskilled - resident",1,"no","no","yes"
NA,18,"existing credits paid back duly till now","furniture/equipment",2515,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",4,"real estate",43,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",21,"critical account","furniture/equipment",2745,"... >= 1000 DM","4  <= ... < 7 years",0.03,"male","single","none",2,"car or other",32,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,6,"existing credits paid back duly till now","car (new)",672,"... <  100 DM","unemployed",0.01,"female","divorced/separated/married","none",4,"real estate",54,"none","own",1,"unemployed/unskilled - non-resident",1,"yes","yes","yes"
"0 <= ... < 200 DM",36,"no credits taken","radio/television",3804,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",1,"car or other",42,"none","own",1,"skilled employee/official",1,"yes","yes","no"
"... >= 200 DM",24,"critical account","car (new)",1344,NA,"4  <= ... < 7 years",0.04,"male","single","none",2,"real estate",37,"bank","own",2,"unskilled - resident",2,"no","yes","no"
"... < 0 DM",10,"critical account","car (new)",1038,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","co-applicant",3,"building society savings agreement/life insurance",49,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,48,"critical account","car (new)",10127,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.02,"male","single","none",2,NA,44,"bank","for free",1,"skilled employee/official",1,"no","yes","no"
NA,6,"existing credits paid back duly till now","furniture/equipment",1543,"... >= 1000 DM","1  <= ... < 4 years",0.04,"male","divorced/separated","none",2,"real estate",33,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,30,"existing credits paid back duly till now","car (used)",4811,NA,"4  <= ... < 7 years",0.02,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"stores","rent",1,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","radio/television",727,"100 <= ... <  500 DM","... < 1 year",0.04,"male","married/widowed","none",3,NA,33,"none","own",1,"unskilled - resident",1,"yes","yes","no"
"0 <= ... < 200 DM",8,"existing credits paid back duly till now","furniture/equipment",1237,"... <  100 DM","1  <= ... < 4 years",0.03,"female","divorced/separated/married","none",4,"real estate",24,"none","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",9,"existing credits paid back duly till now","car (new)",276,"... <  100 DM","1  <= ... < 4 years",0.04,"male","married/widowed","none",4,"real estate",22,"none","rent",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",48,"existing credits paid back duly till now","others",5381,NA,"unemployed",0.03,"male","single","none",4,NA,40,"bank","for free",1,"unemployed/unskilled - non-resident",1,"yes","yes","yes"
NA,24,"existing credits paid back duly till now","furniture/equipment",5511,"100 <= ... <  500 DM","1  <= ... < 4 years",0.04,"male","single","none",1,"car or other",25,"stores","own",1,"skilled employee/official",1,"no","yes","yes"
"... >= 200 DM",24,"existing credits paid back duly till now","furniture/equipment",3749,"... <  100 DM","... < 1 year",0.02,"female","divorced/separated/married","none",4,"car or other",26,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",685,"... <  100 DM","4  <= ... < 7 years",0.02,"male","married/widowed","none",3,"car or other",25,"bank","own",1,"unskilled - resident",1,"no","yes","no"
"... >= 200 DM",4,"existing credits paid back duly till now","car (new)",1494,NA,"... < 1 year",0.01,"male","single","none",2,"real estate",29,"none","own",1,"unskilled - resident",2,"no","no","yes"
"... < 0 DM",36,"all credits at this bank paid back duly","furniture/equipment",2746,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",31,"bank","own",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",708,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","guarantor",3,"building society savings agreement/life insurance",38,"none","own",1,"unskilled - resident",2,"no","yes","yes"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","furniture/equipment",4351,NA,"1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",48,"none","own",1,"unskilled - resident",1,"yes","yes","yes"
NA,12,"critical account","education",701,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"car or other",32,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",15,"delay in paying off in the past","furniture/equipment",3643,"... <  100 DM","... >= 7 years",0.01,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",27,"none","own",2,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",30,"critical account","car (new)",4249,"... <  100 DM","unemployed",0.04,"male","married/widowed","none",2,"car or other",28,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"no","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","radio/television",1938,"... <  100 DM","... < 1 year",0.04,"male","divorced/separated","none",3,"building society savings agreement/life insurance",32,"none","own",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","car (used)",2910,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",1,NA,34,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",2659,"... >= 1000 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"car or other",28,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,18,"critical account","car (new)",1028,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",3,"real estate",36,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",8,"critical account","car (new)",3398,"... <  100 DM","4  <= ... < 7 years",0.01,"male","single","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"no","no","yes"
NA,12,"critical account","furniture/equipment",5801,NA,"... >= 7 years",0.02,"male","single","none",4,"building society savings agreement/life insurance",49,"none","rent",1,"skilled employee/official",1,"yes","yes","yes"
NA,24,"existing credits paid back duly till now","car (new)",1525,"... >= 1000 DM","4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",3,"car or other",34,"none","own",1,"skilled employee/official",2,"yes","yes","yes"
"... >= 200 DM",36,"existing credits paid back duly till now","radio/television",4473,"... <  100 DM","... >= 7 years",0.04,"male","single","none",2,"car or other",31,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",6,"existing credits paid back duly till now","radio/television",1068,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",28,"none","own",1,"skilled employee/official",2,"no","yes","yes"
"... < 0 DM",24,"critical account","car (used)",6615,"... <  100 DM","unemployed",0.02,"male","single","none",4,NA,75,"none","for free",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,18,"critical account","education",1864,"100 <= ... <  500 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",2,"real estate",30,"none","own",2,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",60,"existing credits paid back duly till now","car (new)",7408,"100 <= ... <  500 DM","... < 1 year",0.04,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",24,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","no"
NA,48,"critical account","car (used)",11590,"100 <= ... <  500 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",4,"car or other",24,"bank","rent",2,"unskilled - resident",1,"no","yes","no"
"... < 0 DM",24,"no credits taken","furniture/equipment",4110,"... <  100 DM","... >= 7 years",0.03,"male","single","none",4,NA,23,"bank","rent",2,"skilled employee/official",2,"no","yes","no"
"... < 0 DM",6,"critical account","furniture/equipment",3384,"... <  100 DM","1  <= ... < 4 years",0.01,"male","divorced/separated","none",4,"real estate",44,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"0 <= ... < 200 DM",13,"existing credits paid back duly till now","radio/television",2101,"... <  100 DM","... < 1 year",0.02,"female","divorced/separated/married","guarantor",4,"building society savings agreement/life insurance",23,"none","own",1,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",15,"existing credits paid back duly till now","domestic appliances",1275,NA,"1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",2,"car or other",24,"none","rent",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",4169,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",28,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",10,"existing credits paid back duly till now","furniture/equipment",1521,"... <  100 DM","1  <= ... < 4 years",0.04,"male","divorced/separated","none",2,"car or other",31,"none","own",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",24,"critical account","education",5743,"... <  100 DM","... < 1 year",0.02,"female","divorced/separated/married","none",4,NA,24,"none","for free",2,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",21,"existing credits paid back duly till now","furniture/equipment",3599,"... <  100 DM","4  <= ... < 7 years",0.01,"female","divorced/separated/married","none",4,"car or other",26,"none","rent",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","radio/television",3213,"500 <= ... < 1000 DM","... < 1 year",0.01,"male","married/widowed","none",3,"real estate",25,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","business",4439,"... <  100 DM","... >= 7 years",0.01,"male","single","co-applicant",1,"real estate",33,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... >= 200 DM",10,"existing credits paid back duly till now","car (new)",3949,"... <  100 DM","... < 1 year",0.01,"male","single","guarantor",1,"building society savings agreement/life insurance",37,"none","own",1,"unskilled - resident",2,"no","yes","yes"
NA,15,"critical account","radio/television",1459,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",2,"car or other",43,"none","own",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",13,"critical account","radio/television",882,"... <  100 DM","... < 1 year",0.04,"male","single","guarantor",4,"real estate",23,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","radio/television",3758,"500 <= ... < 1000 DM","unemployed",0.01,"female","divorced/separated/married","none",4,NA,23,"none","rent",1,"unemployed/unskilled - non-resident",1,"no","yes","yes"
NA,6,"delay in paying off in the past","business",1743,"100 <= ... <  500 DM","1  <= ... < 4 years",0.01,"male","single","none",2,"real estate",34,"none","own",2,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",9,"critical account","education",1136,"... >= 1000 DM","... >= 7 years",0.04,"male","single","none",3,NA,32,"none","for free",2,"skilled employee/official",2,"no","yes","no"
NA,9,"existing credits paid back duly till now","domestic appliances",1236,"... <  100 DM","... < 1 year",0.01,"female","divorced/separated/married","none",4,"real estate",23,"none","rent",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",9,"existing credits paid back duly till now","furniture/equipment",959,"... <  100 DM","1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",2,"car or other",29,"none","own",1,"skilled employee/official",1,"no","no","no"
NA,18,"critical account","car (used)",3229,NA,"unemployed",0.02,"male","single","none",4,NA,38,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... < 0 DM",12,"no credits taken","radio/television",6199,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"building society savings agreement/life insurance",28,"none","rent",2,"skilled employee/official",1,"yes","yes","no"
NA,10,"existing credits paid back duly till now","education",727,"500 <= ... < 1000 DM","... >= 7 years",0.04,"male","single","none",4,NA,46,"none","for free",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (new)",1246,"... <  100 DM","... < 1 year",0.04,"male","single","none",2,"real estate",23,"stores","own",1,"unskilled - resident",1,"no","yes","no"
NA,12,"critical account","radio/television",2331,NA,"... >= 7 years",0.01,"male","single","co-applicant",4,"real estate",49,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,36,"delay in paying off in the past","radio/television",4463,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"car or other",26,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,12,"existing credits paid back duly till now","radio/television",776,"... <  100 DM","1  <= ... < 4 years",0.04,"male","married/widowed","none",2,"real estate",28,"none","own",1,"skilled employee/official",1,"no","yes","yes"
